CountryName,imo2015_tasks_done,GDP,population,high_tech_exports,migration,gov_educ_expenditure,area,prob_of_death,internet_user_percentage,gross_enrollment_ratio,unemployment_rate
Lithuania,54,41435533340.3883,2904910,1919840823,-18912,0.042271900177002,65286,0.042,0.7137805901,0.697405395507813,0.0911999988555908
Luxembourg,12,60071584216.1375,569604,702202228,11373,0.0376792001724243,2590,0.013,0.9637671417,0.19776309967041,0.0667000007629395
Latvia,36,27263090547.0617,1977527,1291458341,-11163,0.0528251981735229,64594,0.037,0.7920058292,0.742998809814453,0.0986999988555908
Morocco,27,110414366621.263,34680458,564392267,-81202,0.0464597988128662,446550,0.032,0.5707999935,0.284035491943359,0.0946000003814697
Mexico,114,1171867608197.72,120149897,60215238507,-82173,0.0522942018508911,1964375,0.059,0.5743104299,0.318190402984619,0.0430999994277954
Mongolia,74,11619892396.0767,2964749,3152908,3932,0.0438715648651123,1564120,0.052,0.2250000413,0.650032043457031,0.048600001335144
Nicaragua,26,12756706583.3113,6298598,11891363,-24359,0.0407843017578125,130370,0.064,0.197042915,0.190692806243896,0.0469999980926514
Netherlands,76,765572770634.375,16939923,69698579508,57677,0.0534815979003906,41540,0.014,0.9172413793,0.805699234008789,0.0686999988555908
Norway,54,385801550067.169,5188607,5035410425,30329,0.075693302154541,625184.78,0.019,0.9681032569,0.779589385986328,0.0430000019073486
New Zealand,72,178064471137.921,4609400,657032910,47165,0.0632505989074707,267710,0.028,0.852,0.805633773803711,0.0540999984741211
Pakistan,25,270556131701.171,210969298,266537590,-2172159,0.026500198841095,796100,0.063,0.11,0.092258996963501,0.035699999332428
Panama,9,54091800000,3957099,457,8648,0.0283628988265991,75320,0.066,0.5120542499,0.472656288146973,0.0436800003051758
Poland,117,477111287969.227,37986412,16500616953,-25426,0.0480993986129761,312680,0.029,0.6799698716,0.669461517333984,0.075
Romania,132,177882417554.984,19815616,4436062586,-49612,0.0310963010787964,238400,0.029,0.5576315563,0.467266883850098,0.0680999994277954
Russian Federation,141,1363481063446.77,144096870,11449519430,384942,0.0383402991294861,17098250,0.062,0.7009924123,0.799381332397461,0.0557000017166138
El Salvador,14,23438240000,6231066,208807067,-51282,0.0390987992286682,21040,0.098,0.2680260496,0.279700508117676,0.04
Serbia,100,39655958842.5478,7095383,390512958,7368,0.0378640007972717,88360,0.023,0.653170254,0.582876892089844,0.176599998474121
Slovenia,46,43107506024.3254,2063531,1552487416,7934,0.0490953016281128,20675,0.021,0.7309865997,0.80260986328125,0.0896000003814697
Sweden,63,505103781349.757,9799186,18912184944,77987,0.074439001083374,528449.29,0.021,0.9061019664,0.622824783325195,0.0742999982833862
Tunisia,41,45780077487.7651,11557779,838425109,-25230,0.0622044992446899,163610,0.038,0.4649999434,0.351911392211914,0.151599998474121
